iso3,country_faostat,fao_item_name,harvested_area_ha,production_tonnes,yield_value,crop_importance_score_production,crop_importance_score_area,tomato_importance_score,crop_importance_score_production_log,crop_importance_score_area_log,tomato_importance_score_log
PRK,Democratic People's Republic of Korea,Tomatoes,8517.4,66482.052,7805.38,0.0010796620378449103,0.00776322589406889,0.0044214439659569,0.6191363488602706,0.6506929561964467,0.6349146525283587
PRT,Portugal,Tomatoes,17432.0,1665262.0,95488.74,0.027043692400855666,0.015888481671097857,0.02146608703597676,0.798709731300055,0.7021830960479195,0.7504464136739872
PRY,Paraguay,Tomatoes,1491.0,50436.65,34080.44,0.0008190862749102645,0.0013589792434377526,0.0010890327591740086,0.6037364658148636,0.5254353426156942,0.564585904215279
PSE,Palestine,Tomatoes,1461.6666666666667,261614.0,183149.16666666666,0.004248585834395701,0.00133224323328293,0.0027904145338393154,0.69551584224321,0.5240076803118724,0.6097617612775412
PYF,French Polynesia,Tomatoes,48.8,843.266,17296.96,1.3694557562773877e-05,4.447899871211423e-05,2.9086778137444056e-05,0.37569942055691996,0.28098589749489294,0.3283426590259064
QAT,Qatar,Tomatoes,393.8,30662.354,77943.0,0.0004979536372427559,0.0003589309363284956,0.00042844228678562575,0.5759891776497221,0.429844891118334,0.5029170343840281
ROU,Romania,Tomatoes,17648.0,361214.0,20444.16,0.005866080116451752,0.01608535592769246,0.010975718022072107,0.7135021874288179,0.703068483155544,0.708285335292181
RUS,Russian Federation,Tomatoes,77921.4,2869625.836,36869.42,0.04660244358805538,0.0710218411935684,0.058812142390811895,0.82905123244176,0.8098423075069326,0.8194467699743464
RWA,Rwanda,Tomatoes,10787.0,85999.554,8018.960000000001,0.0013966243660077373,0.009831863916138859,0.005614244141073298,0.6334879115789533,0.6676761356857353,0.6505820236323443
SAU,Saudi Arabia,Tomatoes,15228.6,650524.858,42687.08,0.010564460222392819,0.013880181962854567,0.012222321092623693,0.7463029478487534,0.6924676893289011,0.7193853185888273
SDN,Sudan,Tomatoes,47358.2,644707.384,13613.5,0.010469985012242118,0.043164863049345255,0.026817424030793686,0.7458021085143247,0.7740395811416545,0.7599208448279896
SEN,Senegal,Tomatoes,8160.2,150450.6,18583.239999999998,0.002443303064577331,0.00743765420677448,0.004940478635675905,0.664670678468015,0.6476129575705267,0.6561418180192709
SGP,Singapore,Tomatoes,1.8,15.989999999999998,8081.12,2.596760398602034e-07,1.6406188049550335e-06,9.501474224076184e-07,0.15793138862653822,0.07402953601688406,0.11598046232171114
SLE,Sierra Leone,Tomatoes,2297.2,20013.674,8714.82,0.0003250201130314645,0.002093794177079279,0.0012094071450553718,0.5522041952978117,0.5564967265903872,0.5543504609440995
SLV,El Salvador,Tomatoes,427.2,22799.872,53793.259999999995,0.0003702676967029103,0.00038937352970932793,0.00037982061320611913,0.5594708416748704,0.43568395905673357,0.497577400365802
SOM,Somalia,Tomatoes,4793.0,7234.0,1509.6200000000001,0.00011747945418065739,0.004368603295638597,0.0022430413749096275,0.4954720921872839,0.6093603340610478,0.5524162131241659
SRB,Serbia,Tomatoes,7620.6,135349.66999999998,17756.16,0.002198065434770818,0.006945833147244626,0.004571949291007722,0.6587733946064888,0.642694652227457,0.650734023416973
SUR,Suriname,Tomatoes,44.2,650.8979999999999,14790.34,1.0570520012065457e-05,4.028630621056249e-05,2.542841311131397e-05,0.36128246777200856,0.27401751010712416,0.31764998893956636
SVK,Slovakia,Tomatoes,232.0,18388.0,79190.51999999999,0.0002986193258880188,0.00021145753486087097,0.00025503843037444487,0.547481067775134,0.3919291349734333,0.4697051013742836
SVN,Slovenia,Tomatoes,218.0,9458.0,43568.68,0.00015359699718560374,0.00019869716637788736,0.00017614708178174555,0.5104163038168377,0.3874737335589974,0.44894501868791753
